date,Composite,Lumber,Wood,XHB,ITB,Bank Rate,All-items 8,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food,All-items excluding food and energy
2008-06,319000.0,254.96,47.77750025,18.380952476190476,15.886666666666667,3.25,114.9,115.2,122.3,104.3,94.0,124.0,108.3,102.3,127.7,114.9,110.3
2008-07,317800.0,261.8,46.40681840909091,16.403181863636362,14.326818181818181,3.25,115.4,116.0,123.3,104.5,94.8,124.0,108.4,102.2,127.6,115.2,110.4
2008-08,316800.0,270.1,48.05857085714286,18.48142842857143,15.621428666666667,3.25,115.4,116.8,123.8,104.5,94.3,122.4,109.3,102.5,127.5,115.0,110.6
2008-09,315900.0,240.7,47.34047576190476,20.479524047619048,17.600952285714285,3.25,115.5,118.0,123.1,105.4,94.0,122.3,109.2,102.4,128.0,115.0,110.6
2008-10,312700.0,199.5,33.394783000000004,14.756086956521738,12.990869565217393,2.5,114.7,118.5,123.2,105.2,92.7,118.3,109.3,102.2,128.0,113.9,110.4
2008-11,310500.0,209.5,28.67210536842105,11.518947368421053,9.908947368421053,2.5,114.3,119.7,123.4,105.6,92.9,114.2,109.9,102.0,128.5,113.1,111.0
2008-12,306700.0,188.0,28.017272454545456,12.221363636363636,10.425454545454546,1.75,113.9,119.9,123.4,105.8,92.7,111.7,110.1,102.0,128.7,112.6,111.1
2009-01,304100.0,187.0,26.751500099999998,11.5545,9.587,1.25,113.7,120.4,123.1,105.9,94.2,109.8,110.6,101.9,129.2,112.3,110.7
2009-02,301800.0,173.7,23.748420999999997,10.37421052631579,8.563157894736841,1.25,114.1,121.0,123.2,106.2,94.4,111.5,110.7,102.4,129.2,112.8,111.0
2009-03,301500.0,177.3,20.776363863636362,9.868181818181817,7.963636363636363,0.75,114.0,121.4,122.6,106.6,94.0,110.7,110.9,102.5,129.7,112.5,111.1
2009-04,303700.0,187.4,25.566667,12.33952380952381,10.07952380952381,0.5,113.7,121.5,121.4,107.1,94.0,109.8,111.0,102.9,129.7,112.1,111.2
2009-05,307200.0,193.6,30.1789999,12.647499999999999,10.573,0.5,114.2,121.5,121.4,107.5,93.4,111.6,111.9,103.2,131.2,112.6,111.4
2009-06,311900.0,214.6,29.765909136363636,11.95,9.808636363636364,0.5,114.7,121.6,121.3,107.4,92.5,114.6,112.5,103.1,131.6,113.3,111.6
2009-07,316500.0,210.0,29.85818168181818,12.384545454545453,10.395909090909091,0.5,114.3,121.6,120.9,107.3,93.3,113.0,112.5,103.2,131.5,112.7,111.6
2009-08,320900.0,207.0,34.54428528571428,15.134285714285713,12.788571428571428,0.5,114.5,121.4,121.1,107.1,92.9,114.4,112.2,103.3,131.4,113.1,111.6
2009-09,325600.0,185.5,35.67142866666667,15.441904714285712,12.918095238095237,0.5,114.6,121.2,120.9,107.7,92.9,113.5,113.5,103.4,131.3,113.1,111.6
2009-10,330500.0,206.18,36.537727000000004,14.862272727272728,12.036363636363637,0.5,114.8,121.3,121.2,107.9,92.8,114.6,113.0,103.7,131.4,113.4,111.7
2009-11,334700.0,246.2,36.80200025,14.671000000000001,11.775,0.5,115.4,121.8,121.3,108.5,93.9,116.3,113.4,103.8,131.3,114.1,111.9
2009-12,338500.0,241.0,39.199091,14.87590909090909,11.69818181818182,0.5,115.4,122.1,121.3,107.8,93.5,117.0,113.4,103.7,131.2,114.1,111.9
2010-01,341300.0,255.0,40.14631584210526,15.553157842105263,12.573684210526316,0.5,115.8,122.2,121.8,108.1,92.8,117.6,114.1,103.5,131.1,114.5,112.1
2010-02,344300.0,279.0,37.84421042105263,15.690526368421052,12.916842105263157,0.5,115.9,122.4,121.8,108.1,91.9,117.5,114.0,105.6,131.4,114.6,112.6
2010-03,345600.0,291.3,40.74347834782609,16.738260826086957,13.596521739130436,0.5,115.6,122.9,121.7,108.1,92.0,116.8,113.7,103.2,131.5,114.2,112.1
2010-04,345700.0,326.8,43.3752379047619,18.193809428571427,14.300476190476191,0.5,115.6,122.7,122.4,108.3,92.6,115.9,114.4,103.3,131.8,114.3,112.5
2010-05,345000.0,300.4,39.7430005,17.72249995,14.0215,0.5,115.7,122.5,123.0,108.6,92.0,116.0,114.3,102.9,132.1,114.4,112.5
2010-06,343700.0,232.0,39.0436360909091,15.743636454545454,12.228181818181817,0.75,116.0,122.5,123.3,108.6,92.0,116.5,114.5,103.5,132.2,114.6,112.8
2010-07,343100.0,221.0,39.24571447619047,14.754761904761907,11.444285714285714,1.0,116.6,123.0,124.3,109.4,91.0,116.7,115.8,104.0,134.5,115.1,113.1
2010-08,343500.0,219.5,39.95181868181818,14.55090909090909,11.250909090909092,1.0,116.5,123.3,124.0,109.2,91.3,117.4,116.1,103.9,134.4,115.2,113.1
2010-09,344200.0,242.0,40.993809285714285,15.361428571428572,11.772380952380953,1.25,116.7,123.7,123.9,109.1,90.6,117.7,116.0,104.0,134.4,115.3,113.2
2010-10,345100.0,275.4,42.91952404761905,15.682380952380951,11.736190476190476,1.25,117.4,123.8,124.6,109.3,91.6,120.1,116.2,104.4,134.5,116.1,113.5
2010-11,347000.0,286.3,44.18000009523809,15.924285666666668,11.694285714285716,1.25,117.7,123.4,124.4,109.5,91.0,121.5,116.0,104.5,134.6,116.5,113.6
2010-12,348700.0,318.78,44.6781820909091,17.165908954545454,12.765454545454544,1.25,118.2,124.2,124.6,109.6,91.5,122.4,116.1,104.8,134.6,117.0,113.8
2011-01,351400.0,330.1,47.08700025,17.89649995,13.7405,1.25,118.4,124.6,124.5,109.8,91.0,123.2,116.0,105.2,135.2,117.2,113.9
2011-02,353900.0,315.7,48.77263173684211,18.110000000000003,13.624736842105264,1.25,118.3,124.7,124.5,109.8,90.5,123.3,116.2,105.3,135.0,117.0,113.9
2011-03,356600.0,323.8,48.08565256521739,17.892608652173912,13.270434782608698,1.25,119.1,126.8,124.6,110.3,91.6,124.2,116.7,105.6,134.8,117.6,114.2
2011-04,359000.0,297.0,49.9115002,18.588000049999998,13.333000000000002,1.25,119.6,127.0,125.2,109.6,90.9,125.7,116.9,105.5,135.0,118.0,114.2
2011-05,361500.0,263.5,47.71380919047619,18.571428714285712,13.053333333333333,1.25,120.0,127.5,125.2,110.2,92.3,126.6,116.9,105.4,135.7,118.4,114.7
2011-06,364300.0,256.18,42.63545440909091,17.709090727272727,12.517727272727273,1.25,119.6,128.0,125.4,110.7,92.2,124.8,116.7,105.3,135.6,118.0,114.3
2011-07,366800.0,267.0,43.16550015,17.7095,12.4435,1.25,119.8,128.4,125.9,110.7,92.1,124.5,116.9,105.5,136.1,118.2,114.5
2011-08,369300.0,248.64,37.305217086956524,14.419565217391304,9.838260869565218,1.25,120.1,128.6,126.2,111.5,92.1,125.6,117.3,105.1,136.1,118.5,114.8
2011-09,371700.0,279.3,36.22047595238095,14.07904761904762,9.435714285714287,1.25,120.5,129.1,125.7,111.5,93.0,126.9,117.5,105.4,135.9,118.9,115.3
2011-10,373700.0,237.16,36.29714233333333,15.040952380952382,9.97857142857143,1.25,120.9,129.2,126.5,111.8,92.9,127.8,117.6,105.3,135.8,119.1,115.3
2011-11,376200.0,247.5,36.36047604761905,15.956190523809523,10.876190476190477,1.25,121.0,129.4,126.3,112.1,92.3,128.5,117.8,105.0,135.8,119.3,115.5
2011-12,379100.0,259.66,36.43428542857143,16.758571476190475,11.627619047619048,1.25,120.8,129.7,126.8,112.1,91.9,126.7,118.3,105.0,135.8,119.2,115.4
2012-01,381900.0,263.3,39.2264997,18.55600015,13.1095,1.25,121.5,130.0,127.1,112.4,92.6,128.2,118.2,105.0,136.3,119.6,115.8
2012-02,383800.0,275.4,40.708999899999995,19.9625,13.996,1.25,121.4,129.8,126.9,112.6,93.0,128.4,118.5,105.1,136.6,119.7,115.7
2012-03,386100.0,280.1,41.40590913636363,20.96818181818182,14.615909090909092,1.25,121.5,129.7,126.6,112.4,92.3,128.9,118.6,105.6,137.5,119.8,115.9
2012-04,388300.0,283.9,39.99399965,20.87850035,14.5155,1.25,121.9,130.2,126.6,112.5,92.9,130.1,118.5,106.0,137.7,120.1,116.4
2012-05,389100.0,291.8,37.23409122727273,21.067272636363636,15.457272772727272,1.25,121.5,130.5,126.7,112.8,91.9,127.9,118.6,106.1,137.7,119.8,116.3
2012-06,389500.0,286.6,35.87999966666667,20.069047523809523,15.07428561904762,1.25,121.2,130.4,127.0,113.0,91.7,126.3,118.7,106.0,137.5,119.6,116.2
