Products and product groups 7,All-items 8,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food,All-items excluding food and energy
2023-12-05,108,107.4,110.5,102.2,97.1,113.1,105.4,100.8,119.9,108.2,106
2023-01-06,108.9,107.9,111.8,102.5,96.2,114.7,105.4,100.9,120,108.2,106.2
2023-02-06,108.5,107.9,111.7,102.3,95.7,112.7,105.5,100.7,120.5,108,106.3
2023-03-06,108.6,108.1,111.9,102.2,96.5,114.2,105.7,100.7,121.5,108.7,106.5
2023-04-06,109.1,108.1,112.2,102.1,95.6,117.9,105.7,100.7,121.9,109.5,106.6
2023-05-06,109.2,108.3,113,102.3,96.4,117.8,105.8,101,121.8,109.9,106.8
2023-06-06,109.1,108.6,112.8,102.2,95.6,117.3,105.9,100.7,121.8,109.6,106.7
2023-07-06,109.2,108.8,113.2,101.6,94.9,118.3,105.7,100.4,121.5,109.7,106.6
2023-08-06,109.4,109.3,113.5,101.9,95.8,118,105.6,100.3,121.8,109.9,106.9
2023-09-06,109,109.7,114,102,96,112.8,106,100.2,122,109.3,107.1
2023-10-06,109.1,110.2,114.1,102.2,95.9,111.7,106.2,100.3,122.2,108.9,107.4
2023-11-06,109.5,110.4,114.1,102.3,96,112.7,106.4,100.7,122.3,109.1,107.5
2023-12-06,109.9,109.9,114.6,102.3,95.1,114.1,106.4,100.8,123.2,109.3,107.6
2023-01-07,110.2,110.6,114.8,102.6,96.4,113.3,106.6,101.2,124.2,109.1,108
2023-02-07,110.6,112.3,114.9,102.8,95.7,114.2,106.7,101.3,124.2,109.7,108.2
2023-03-07,111.2,112,115.4,103,95.6,117.7,106.6,101.5,124.1,110.9,108.4
2023-04-07,111.5,112.1,116.2,103,97.3,118.6,106.7,101.4,124.5,111.4,108.7
2023-05-07,111.5,112.1,116,102.9,95.9,120.7,107,101.6,125.2,112,108.8
2023-06-07,111.3,111.9,116.8,103.1,94.6,119.2,107.5,101.8,125.7,111.8,108.9
2023-07-07,111.4,111.9,117,103.4,96.1,118.5,107.5,102,126,111.9,109.2
2023-08-07,111.3,111.9,117.6,103.8,95.7,116.3,107.6,102,126.1,111.7,109.3
2023-09-07,111.7,111.8,117.8,103.5,95,116.9,107.6,102,126.6,112.1,109.5
2023-10-07,111.9,111.7,118.7,103.4,95.2,115.2,107.7,102,126.3,111.8,109.4
2023-11-07,112.2,111.7,118.8,103.4,95.4,116.7,107.7,102.1,126.5,112,109.4
2023-12-07,112.6,111.8,119.2,103.7,95.5,117.5,107.9,102,126.2,112,109.5
2023-01-08,112.4,112.1,119.2,103.6,94.4,118.7,107.8,101.6,126.4,112.5,109.4
2023-02-08,112.6,112.5,119.6,104,94.5,118.4,107.9,102,126.8,112.6,109.6
2023-03-08,112.8,112.8,120.1,103.9,94.2,118,108.3,102,126.6,112.9,109.7
2023-04-08,113.3,113.1,121.2,104.2,93.5,119.6,108.3,102.1,126.7,113.4,109.9
2023-05-08,114.1,114.3,121.6,104.2,92.8,121.7,108.3,102.4,127.4,114.1,110
2023-06-08,114.9,115.2,122.3,104.3,94,124,108.3,102.3,127.7,114.9,110.3
2023-07-08,115.4,116,123.3,104.5,94.8,124,108.4,102.2,127.6,115.2,110.4
2023-08-08,115.4,116.8,123.8,104.5,94.3,122.4,109.3,102.5,127.5,115,110.6
2023-09-08,115.5,118,123.1,105.4,94,122.3,109.2,102.4,128,115,110.6
2023-10-08,114.7,118.5,123.2,105.2,92.7,118.3,109.3,102.2,128,113.9,110.4
2023-11-08,114.3,119.7,123.4,105.6,92.9,114.2,109.9,102,128.5,113.1,111
2023-12-08,113.9,119.9,123.4,105.8,92.7,111.7,110.1,102,128.7,112.6,111.1
2023-01-09,113.7,120.4,123.1,105.9,94.2,109.8,110.6,101.9,129.2,112.3,110.7
2023-02-09,114.1,121,123.2,106.2,94.4,111.5,110.7,102.4,129.2,112.8,111
2023-03-09,114,121.4,122.6,106.6,94,110.7,110.9,102.5,129.7,112.5,111.1
2023-04-09,113.7,121.5,121.4,107.1,94,109.8,111,102.9,129.7,112.1,111.2
2023-05-09,114.2,121.5,121.4,107.5,93.4,111.6,111.9,103.2,131.2,112.6,111.4
2023-06-09,114.7,121.6,121.3,107.4,92.5,114.6,112.5,103.1,131.6,113.3,111.6
2023-07-09,114.3,121.6,120.9,107.3,93.3,113,112.5,103.2,131.5,112.7,111.6
2023-08-09,114.5,121.4,121.1,107.1,92.9,114.4,112.2,103.3,131.4,113.1,111.6
2023-09-09,114.6,121.2,120.9,107.7,92.9,113.5,113.5,103.4,131.3,113.1,111.6
2023-10-09,114.8,121.3,121.2,107.9,92.8,114.6,113,103.7,131.4,113.4,111.7
2023-11-09,115.4,121.8,121.3,108.5,93.9,116.3,113.4,103.8,131.3,114.1,111.9
2023-12-09,115.4,122.1,121.3,107.8,93.5,117,113.4,103.7,131.2,114.1,111.9
2023-01-10,115.8,122.2,121.8,108.1,92.8,117.6,114.1,103.5,131.1,114.5,112.1
2023-02-10,115.9,122.4,121.8,108.1,91.9,117.5,114,105.6,131.4,114.6,112.6
2023-03-10,115.6,122.9,121.7,108.1,92,116.8,113.7,103.2,131.5,114.2,112.1
2023-04-10,115.6,122.7,122.4,108.3,92.6,115.9,114.4,103.3,131.8,114.3,112.5
2023-05-10,115.7,122.5,123,108.6,92,116,114.3,102.9,132.1,114.4,112.5
2023-06-10,116,122.5,123.3,108.6,92,116.5,114.5,103.5,132.2,114.6,112.8
2023-07-10,116.6,123,124.3,109.4,91,116.7,115.8,104,134.5,115.1,113.1
2023-08-10,116.5,123.3,124,109.2,91.3,117.4,116.1,103.9,134.4,115.2,113.1
2023-09-10,116.7,123.7,123.9,109.1,90.6,117.7,116,104,134.4,115.3,113.2
2023-10-10,117.4,123.8,124.6,109.3,91.6,120.1,116.2,104.4,134.5,116.1,113.5
2023-11-10,117.7,123.4,124.4,109.5,91,121.5,116,104.5,134.6,116.5,113.6
2023-12-10,118.2,124.2,124.6,109.6,91.5,122.4,116.1,104.8,134.6,117,113.8
2023-01-11,118.4,124.6,124.5,109.8,91,123.2,116,105.2,135.2,117.2,113.9
2023-02-11,118.3,124.7,124.5,109.8,90.5,123.3,116.2,105.3,135,117,113.9
2023-03-11,119.1,126.8,124.6,110.3,91.6,124.2,116.7,105.6,134.8,117.6,114.2
2023-04-11,119.6,127,125.2,109.6,90.9,125.7,116.9,105.5,135,118,114.2
2023-05-11,120,127.5,125.2,110.2,92.3,126.6,116.9,105.4,135.7,118.4,114.7
2023-06-11,119.6,128,125.4,110.7,92.2,124.8,116.7,105.3,135.6,118,114.3
2023-07-11,119.8,128.4,125.9,110.7,92.1,124.5,116.9,105.5,136.1,118.2,114.5
2023-08-11,120.1,128.6,126.2,111.5,92.1,125.6,117.3,105.1,136.1,118.5,114.8
2023-09-11,120.5,129.1,125.7,111.5,93,126.9,117.5,105.4,135.9,118.9,115.3
2023-10-11,120.9,129.2,126.5,111.8,92.9,127.8,117.6,105.3,135.8,119.1,115.3
2023-11-11,121,129.4,126.3,112.1,92.3,128.5,117.8,105,135.8,119.3,115.5
2023-12-11,120.8,129.7,126.8,112.1,91.9,126.7,118.3,105,135.8,119.2,115.4
2023-01-12,121.5,130,127.1,112.4,92.6,128.2,118.2,105,136.3,119.6,115.8
2023-02-12,121.4,129.8,126.9,112.6,93,128.4,118.5,105.1,136.6,119.7,115.7
2023-03-12,121.5,129.7,126.6,112.4,92.3,128.9,118.6,105.6,137.5,119.8,115.9
2023-04-12,121.9,130.2,126.6,112.5,92.9,130.1,118.5,106,137.7,120.1,116.4
2023-05-12,121.5,130.5,126.7,112.8,91.9,127.9,118.6,106.1,137.7,119.8,116.3
2023-06-12,121.2,130.4,127,113,91.7,126.3,118.7,106,137.5,119.6,116.2
2023-07-12,121.2,131,127.2,113,91.3,126,118.6,105.8,137.6,119.4,116
2023-08-12,121.7,131.4,127.4,112.9,90.9,127.6,119.6,106.2,137.9,119.8,116.1
2023-09-12,121.9,131.2,127.2,113.2,91.3,128.7,118.5,106,137.7,120,116.2
2023-10-12,122.2,131.7,127.6,113.4,91.6,129.3,118.8,105.9,137.8,120.3,116.3
2023-11-12,122.1,131.7,127.5,113.6,91.8,128.2,118.7,106.4,138.3,120.2,116.5
2023-12-12,122,131.7,127.5,113.6,92,127.7,118.8,106.4,138.3,120.1,116.5
2023-01-13,122.1,131.1,127.8,113.9,91.3,127.7,118.6,106.2,138.9,120.2,116.5
