date,composite
2008-06-01,313345.3501593779
2008-07-01,317072.1999129845
2008-08-01,317819.90257868863
2008-09-01,318762.5336131676
2008-10-01,297809.8408631477
2008-11-01,299804.009525815
2008-12-01,306420.5856263155
2009-01-01,302564.0397133342
2009-02-01,301037.8341631406
2009-03-01,297677.53727784404
2009-04-01,305375.75280765863
2009-05-01,314014.57396073954
2009-06-01,313633.91305570706
2009-07-01,317356.8283898316
2009-08-01,322121.2939796132
2009-09-01,325694.30560341396
2009-10-01,327105.5748874375
2009-11-01,334534.2943230282
2009-12-01,336402.49172050494
2010-01-01,341217.42962648184
2010-02-01,348213.025350515
2010-03-01,341149.4735882096
2010-04-01,349310.646903938
2010-05-01,345217.82629673765
2010-06-01,341014.4461740338
2010-07-01,344319.7310283481
2010-08-01,344291.4916743144
2010-09-01,341969.64872638433
2010-10-01,347370.7220128275
2010-11-01,344771.0252393477
2010-12-01,349846.496212918
2011-01-01,351662.4403291676
2011-02-01,352679.25495938293
2011-03-01,357597.91952809447
2011-04-01,359098.48150988895
2011-05-01,362562.5166982144
2011-06-01,364198.1060941847
2011-07-01,366890.70405667624
2011-08-01,370242.46860623226
2011-09-01,372672.7059749214
2011-10-01,369004.2788585345
2011-11-01,374928.5600943203
2011-12-01,380071.61461674445
2012-01-01,381234.82922869164
2012-02-01,382057.5652316179
2012-03-01,385739.27392383025
2012-04-01,391590.24458595394
2012-05-01,393905.8948973029
2012-06-01,393903.3805937286
2012-07-01,390842.0297472995
2012-08-01,393770.5299145917
2012-09-01,390166.7413525943
2012-10-01,391650.3201449679
2012-11-01,395436.2793131593
2012-12-01,393852.0934569305
2013-01-01,394666.9606208927
2013-02-01,398729.64450608427
2013-03-01,397282.41835288925
2013-04-01,395103.3552551557
2013-05-01,397797.55957826425
2013-06-01,399462.563997995
2013-07-01,400289.9444783572
2013-08-01,402912.1070198852
2013-09-01,403359.44353081414
2013-10-01,408740.33254689694
2013-11-01,411362.35540489305
2013-12-01,410049.9820614589
2014-01-01,412420.9819723256
2014-02-01,421429.70839848224
2014-03-01,423072.85234546976
2014-04-01,422382.94374109176
2014-05-01,426041.39512524166
2014-06-01,429256.93331030634
2014-07-01,430712.3076695292
2014-08-01,432769.0545544904
2014-09-01,432888.44905338704
2014-10-01,436877.9969693315
2014-11-01,439003.2120655153
2014-12-01,440563.2093901358
2015-01-01,441503.02347338793
2015-02-01,447784.7315867325
2015-03-01,450959.40651856747
2015-04-01,450497.6709635579
2015-05-01,456560.4135003454
2015-06-01,461292.78679867164
2015-07-01,473235.92666163784
2015-08-01,475201.6464449736
2015-09-01,474690.7888479104
2015-10-01,479240.91005798226
2015-11-01,483461.6225789368
2015-12-01,489755.91385044716
2016-01-01,491126.2267588865
2016-02-01,494997.960345889
2016-03-01,503282.552792277
2016-04-01,511285.3657238541
2016-05-01,521710.3100141595
2016-06-01,524166.4106618031
2016-07-01,543744.8313482762
2016-08-01,553175.2507169627
2016-09-01,556121.0556368065
2016-10-01,570714.7778198965
2016-11-01,576714.8635624034
2016-12-01,589056.7329772689
2017-01-01,603097.0464673886
2017-02-01,618189.7415070353
2017-03-01,625034.7933045567
2017-04-01,626648.1962995427
2017-05-01,642117.2220547328
2017-06-01,648848.257169336
2017-07-01,614585.6386570912
2017-08-01,613789.0176544841
2017-09-01,608965.0818009935
2017-10-01,608265.2731262917
2017-11-01,608787.6720751786
2017-12-01,599665.7437867065
2018-01-01,602926.0214430112
2018-02-01,600468.5108647174
2018-03-01,601026.4359918857
2018-04-01,596414.4058764437
2018-05-01,600157.0806101859
2018-06-01,602833.9408947494
2018-07-01,607208.0608546196
2018-08-01,607889.5884470834
2018-09-01,610560.9254119894
2018-10-01,605408.2501863053
2018-11-01,603110.5142879232
2018-12-01,610760.6379417321
2019-01-01,598971.7785397561
2019-02-01,598770.3665270419
2019-03-01,605762.2140763022
2019-04-01,605336.3480882567
2019-05-01,609170.7308808422
2019-06-01,613348.8748454483
2019-07-01,630926.9356877098
2019-08-01,621916.3991957855
2019-09-01,624689.5538151568
2019-10-01,633322.7236053427
2019-11-01,632810.7660004657
2019-12-01,637365.6131700337
2020-01-01,649238.1837486515
2020-02-01,663890.6370367607
2020-03-01,656137.5025983184
2020-04-01,659907.8870527024
2020-05-01,647145.1191453948
2020-06-01,678585.8567662218
2020-07-01,682097.838326874
2020-08-01,699728.2281122757
2020-09-01,706020.9130231692
2020-10-01,713532.3251096482
2020-11-01,733702.592195991
2020-12-01,737594.1521143033
2021-01-01,758866.1614182603
2021-02-01,776297.9212212918
2021-03-01,785230.031230198
2021-04-01,808907.2978312217
2021-05-01,820482.9186814488
2021-06-01,811300.1000133599
2021-07-01,849615.5721822383
2021-08-01,873076.7949205808
2021-09-01,889966.6990227601
2021-10-01,905410.855289124
2021-11-01,947207.5902819296
2021-12-01,970814.5262246386
2022-01-01,1016011.9732046388
2022-02-01,1027176.4588592893
2022-03-01,1045407.0222201139
2022-04-01,1014056.729686196
2022-05-01,997719.9025285984
2022-06-01,965753.5590577978
2022-07-01,939814.2340604998
2022-08-01,931356.9083765422
2022-09-01,903318.5822258813
2022-10-01,899770.4575513485
2022-11-01,899032.8586611189
2022-12-01,875918.9590248608
2023-01-01,872817.2861988881
2023-02-01,866809.9863839729
2023-03-01,864310.9315952314
2023-04-01,877377.8603932643
